Gender,Age_2,Marital,Parental,Education,Religion,Occupation,CoupleStatus,Income,CouplePeriod,NumCouple,NumCouple_2,Empathy_01,Respect_02,Distancing_03,Growth_04,Patience_05,Growth_06,Respect_07,Distancing_08,Growth_09,Empathy_10,Empathy_11,Patience_12,Growth_13,Patience_14,Respect_15,Distancing_16,Empathy_17,Respect_18,Patience_19,Growth_20,Respect_21,Patience_22,Extraversion_01,Extraversion_02,Extraversion_03,Extraversion_04,Neuroticism_05,Neuroticism_06,Neuroticism_07,Neuroticism_08,Openness_09,Openness_10,Openness_11,Openness_12,Agreeableness_13,Agreeableness_14,Agreeableness_15,Agreeableness_16,Conscientiousness_17,Conscientiousness_18,Conscientiousness_19,Conscientiousness_20,Avoidance_01,Dominance_02,Compromise_03,Accomodation_04,Collaboration_05,Avoidance_06,Dominance_07,Compromise_08,Accomodation_09,Collaboration_10,Avoidance_11,Dominance_12,Compromise_13,Accomodation_14,Collaboration_15,Avoidance_16,Dominance_17,Compromise_18,Accomodation_19,Collaboration_20,Avoidance_21,Dominance_22,Compromise_23,Accomodation_24,Collaboration_25,satisfaction_01,satisfaction_02,satisfaction_03,satisfaction_04,satisfaction_05,satisfaction_06,satisfaction_07,satisfaction_08,satisfaction_09,ADCRS,TD,PD,RD,GD,DD,Extraversion,Neuroticism,Openness,Agreeableness,Conscientiousness,Compromising,Integrating,Obliging,Avoiding,Dominating,PositiveStrategy,NegativeStrategy,CoupleSatisfaction
2,4,2,2,4,1,2,1,3,6,5,10,5,3,5,3,2,4,5,6,4,6,6,4,3,4,5,7,6,3,5,3,4,4,5,5,5,5,4,4,4,3,5,5,5,5,3,4,4,4,5,5,5,5,5,2,4,5,4,4,1,2,2,4,4,4,4,2,3,5,5,2,2,2,2,2,1,3,1,3,3,2,3,3,3,2,3,2,97,19,23,20,17,18,20,15,20,15,20,13,14,14,20,14,27,34,24
2,4,2,3,4,3,7,1,4,10,5,10,5,2,4,5,2,5,3,5,6,5,5,3,5,4,2,5,6,2,4,5,2,3,3,3,4,4,2,2,4,5,3,4,3,4,3,3,4,4,4,4,4,4,3,3,4,3,4,3,3,4,3,3,4,3,4,3,4,2,3,4,3,4,4,3,3,3,3,3,4,2,3,3,3,3,3,3,88,16,21,11,26,14,14,13,14,14,16,19,18,15,16,15,37,31,27
2,4,2,1,2,1,8,1,3,9,4,,5,3,7,6,4,2,7,5,7,6,5,3,5,4,3,5,3,4,4,6,4,4,4,4,3,3,3,2,1,3,4,4,3,3,4,3,4,4,4,3,3,3,4,1,4,4,4,5,1,4,4,4,4,3,4,5,4,5,3,1,5,4,5,1,1,4,3,4,4,3,3,4,5,3,5,3,102,19,19,21,26,17,14,9,14,15,13,14,19,22,23,9,33,32,34
2,4,2,3,2,4,7,1,1,10,2,,5,4,5,5,4,3,5,5,5,4,5,6,5,3,4,5,4,6,4,4,5,4,4,4,4,4,3,3,1,4,3,3,3,2,3,2,4,4,5,5,5,5,3,3,2,2,4,4,2,2,2,3,4,4,2,3,3,4,3,2,2,3,4,3,3,3,2,3,4,2,3,3,4,2,4,3,100,21,18,24,22,15,16,11,11,13,20,11,15,12,19,15,26,34,28
2,4,2,3,4,4,4,1,3,10,3,,4,3,4,5,3,5,5,4,4,5,6,5,5,5,4,4,5,3,2,4,3,3,4,2,3,3,3,3,3,4,3,2,2,3,4,4,4,4,5,4,4,5,3,3,2,3,4,2,1,2,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,2,1,2,2,2,1,2,2,1,1,91,18,20,18,23,12,12,13,10,16,18,14,15,15,13,13,29,26,14
2,4,2,3,4,2,7,1,2,10,2,,6,4,6,6,4,5,4,6,6,6,6,6,6,6,6,6,6,4,5,5,3,6,4,4,4,4,3,2,2,4,4,3,4,5,3,4,4,4,4,3,4,4,3,1,4,4,3,1,1,2,3,4,4,2,3,3,4,1,2,2,3,4,1,1,3,4,5,4,5,4,5,4,5,4,5,4,118,27,24,21,28,18,16,11,16,15,15,14,20,17,10,7,34,17,40
2,4,2,3,4,1,2,1,5,10,3,,6,4,5,3,4,2,5,5,4,5,5,3,3,4,4,5,5,2,3,2,2,3,5,5,4,5,2,2,2,2,3,3,3,4,4,5,4,4,4,3,3,4,4,2,3,3,2,4,2,4,4,4,4,4,4,3,3,4,2,3,3,4,3,2,3,3,3,2,2,3,4,3,3,3,3,2,84,17,21,17,14,15,19,8,13,17,14,17,16,16,19,12,33,31,25
2,4,2,3,4,2,7,1,4,9,2,,5,3,6,6,6,5,5,5,5,5,5,6,5,6,4,6,5,5,6,5,5,6,5,3,3,4,3,2,2,2,4,4,4,3,4,4,4,4,4,4,4,4,2,2,4,4,4,3,1,4,4,4,4,2,4,4,4,3,1,4,4,3,3,2,3,4,2,3,5,3,5,4,5,4,5,3,115,30,20,22,26,17,15,9,15,16,16,19,17,20,15,8,36,23,37
2,4,2,3,2,1,4,1,2,10,1,,5,3,4,5,5,3,5,5,3,5,5,3,4,5,5,3,3,5,5,3,5,5,2,3,2,3,2,2,4,4,3,3,3,3,3,2,2,2,4,3,2,3,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,3,3,3,3,2,4,2,4,2,94,23,18,23,18,12,10,12,12,9,12,7,8,7,10,7,15,17,26
2,4,2,3,5,4,7,1,3,10,3,,5,4,5,5,6,5,4,5,5,6,6,5,5,6,5,4,5,4,4,5,5,4,3,3,2,3,3,3,3,4,4,4,3,4,4,4,4,4,4,3,4,4,3,2,4,3,4,2,1,4,3,4,4,4,4,4,4,3,2,3,3,4,3,2,3,4,4,4,4,3,3,3,4,3,4,3,108,25,22,22,25,14,11,13,15,16,15,18,20,17,15,11,38,26,31
2,4,2,3,2,1,4,1,3,10,1,,7,1,5,4,4,5,4,5,5,6,6,4,5,4,3,6,5,3,3,5,4,5,4,2,3,3,3,3,4,4,2,2,2,4,3,4,4,5,4,5,5,5,4,4,4,3,3,3,3,3,4,4,4,3,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,3,3,99,20,24,15,24,16,12,14,10,16,19,17,17,17,16,16,34,32,28
2,4,2,3,4,3,2,1,5,10,5,7,7,2,6,6,4,4,4,6,6,6,4,5,6,2,2,7,6,3,4,4,2,4,4,3,3,3,1,1,1,1,5,5,4,4,3,1,4,5,5,4,5,4,1,3,5,2,5,1,4,1,3,4,2,4,3,3,4,1,5,4,3,5,5,4,2,1,5,4,4,4,5,4,5,4,5,3,100,19,23,13,26,19,13,4,18,13,18,15,23,12,10,20,38,30,38
2,4,2,3,4,1,2,1,2,10,2,,5,3,3,6,6,5,3,6,6,7,6,7,6,7,3,5,7,3,4,5,5,5,4,3,2,4,1,2,2,3,2,3,2,4,3,4,4,4,5,3,3,4,4,3,2,3,3,3,2,3,3,4,4,3,3,2,4,4,3,2,3,3,5,4,3,3,4,4,5,4,5,4,5,4,5,4,113,29,25,17,28,14,13,8,11,15,15,13,18,14,20,15,31,35,40
2,4,2,3,4,3,2,1,5,10,2,,6,5,5,6,3,3,5,6,5,5,5,3,3,3,3,6,6,2,3,3,2,3,3,2,2,3,4,3,4,4,2,2,1,4,4,2,3,4,4,4,4,4,3,3,3,4,3,2,3,3,3,2,4,3,3,3,2,3,4,3,3,2,3,3,4,3,3,4,4,3,3,2,4,2,4,2,91,15,22,17,20,17,10,15,9,13,16,16,12,16,15,16,28,31,28
2,4,2,3,4,2,7,1,1,1,1,,4,4,4,3,5,3,4,4,4,3,3,5,4,4,4,3,3,5,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,86,23,13,21,18,11,12,11,9,11,8,17,18,18,17,17,35,34,36
2,4,2,3,5,3,2,1,3,10,3,,6,4,5,4,2,5,3,5,5,6,6,3,5,5,3,5,6,2,4,4,3,3,4,3,3,2,3,2,1,2,3,3,3,4,4,4,4,4,5,4,4,4,4,1,3,3,3,2,1,3,2,3,2,3,2,3,3,4,3,3,3,2,3,2,3,3,2,4,4,3,4,4,4,4,4,4,94,17,24,15,23,15,12,8,13,16,17,14,13,14,15,10,27,25,35
